"list_name","name","label","Hub","District","Block_VDC"
"Block_VDCs","Belbhar","Belbhar","Nepal","Banke",""
"Block_VDCs","Betahani","Betahani","Nepal","Banke",""
"Block_VDCs","Bhawaniyapur","Bhawaniyapur","Nepal","Banke",""
"Block_VDCs","Binauna","Binauna","Nepal","Banke",""
"Block_VDCs","Chisapani","Chisapani","Nepal","Banke",""
"Block_VDCs","Ganapur","Ganapur","Nepal","Banke",""
"Block_VDCs","Gangapur","Gangapur","Nepal","Banke",""
"Block_VDCs","Hirminiya","Hirminiya","Nepal","Banke",""
"Block_VDCs","Holiya","Holiya","Nepal","Banke",""
"Block_VDCs","Indrapur","Indrapur","Nepal","Banke",""
"Block_VDCs","Jaispur","Jaispur","Nepal","Banke",""
"Block_VDCs","Kalaphanta","Kalaphanta","Nepal","Banke",""
"Block_VDCs","Kamdi","Kamdi","Nepal","Banke",""
"Block_VDCs","Kanchanpur","Kanchanpur","Nepal","Banke",""
"Block_VDCs","Kathkuiya","Kathkuiya","Nepal","Banke",""
"Block_VDCs","KhajuraKhurda","KhajuraKhurda","Nepal","Banke",""
"Block_VDCs","Khaskarkdao","Khaskarkdao","Nepal","Banke",""
"Block_VDCs","Khaskusma","Khaskusma","Nepal","Banke",""
"Block_VDCs","Kohalpur","Kohalpur","Nepal","Banke",""
"Block_VDCs","Laksmanpur","Laksmanpur","Nepal","Banke",""
"Block_VDCs","Mahadevpuri","Mahadevpuri","Nepal","Banke",""
"Block_VDCs","Manikapur","Manikapur","Nepal","Banke",""
"Block_VDCs","Matahiya","Matahiya","Nepal","Banke",""
"Block_VDCs","Narainapur","Narainapur","Nepal","Banke",""
"Block_VDCs","Naubasta","Naubasta","Nepal","Banke",""
"Block_VDCs","Nepalganj","Nepalganj","Nepal","Banke",""
"Block_VDCs","Parsapur","Parsapur","Nepal","Banke",""
"Block_VDCs","Phattepur","Phattepur","Nepal","Banke",""
"Block_VDCs","Piparhawa","Piparhawa","Nepal","Banke",""
"Block_VDCs","Puraina","Puraina","Nepal","Banke",""
"Block_VDCs","Pyuthan","Pyuthan","Nepal","Banke",""
"Block_VDCs","Radhapur","Radhapur","Nepal","Banke",""
"Block_VDCs","Rajhena","Rajhena","Nepal","Banke",""
"Block_VDCs","Raniyapur","Raniyapur","Nepal","Banke",""
"Block_VDCs","Saigaun","Saigaun","Nepal","Banke",""
"Block_VDCs","Samserganj","Samserganj","Nepal","Banke",""
"Block_VDCs","Sitapur","Sitapur","Nepal","Banke",""
"Block_VDCs","Sonapur","Sonapur","Nepal","Banke",""
"Block_VDCs","Titahiriya","Titahiriya","Nepal","Banke",""
"Block_VDCs","Udarapur","Udarapur","Nepal","Banke",""
"Block_VDCs","Udaypur","Udaypur","Nepal","Banke",""
"Block_VDCs","Baganaha","Baganaha","Nepal","Bardiya",""
"Block_VDCs","Baniyabhar","Baniyabhar","Nepal","Bardiya",""
"Block_VDCs","Belawa","Belawa","Nepal","Bardiya",""
"Block_VDCs","Deudakala","Deudakala","Nepal","Bardiya",""
"Block_VDCs","Dhadhawar","Dhadhawar","Nepal","Bardiya",""
"Block_VDCs","Dhodari","Dhodari","Nepal","Bardiya",""
"Block_VDCs","Gola","Gola","Nepal","Bardiya",""
"Block_VDCs","Gulariya","Gulariya","Nepal","Bardiya",""
"Block_VDCs","Jamuni","Jamuni","Nepal","Bardiya",""
"Block_VDCs","Kalika","Kalika","Nepal","Bardiya",""
"Block_VDCs","Khairapur","Khairapur","Nepal","Bardiya",""
"Block_VDCs","KhairiChandanpur","KhairiChandanpur","Nepal","Bardiya",""
"Block_VDCs","Magaragadi","Magaragadi","Nepal","Bardiya",""
"Block_VDCs","Mahamadpur","Mahamadpur","Nepal","Bardiya",""
"Block_VDCs","Manau","Manau","Nepal","Bardiya",""
"Block_VDCs","ManpurMainapokhar","ManpurMainapokhar","Nepal","Bardiya",""
"Block_VDCs","ManpurTapara","ManpurTapara","Nepal","Bardiya",""
"Block_VDCs","Mathurahardwar","Mathurahardwar","Nepal","Bardiya",""
"Block_VDCs","Motipur","Motipur","Nepal","Bardiya",""
"Block_VDCs","Neulapur","Neulapur","Nepal","Bardiya",""
"Block_VDCs","Padanaha","Padanaha","Nepal","Bardiya",""
