"list_name","name","label","Hub","District","Block"
"Blocks","Hajipur","Hajipur","Bihar","Vaishali",""
"Blocks","Raghopur","Raghopur","Bihar","Vaishali",""
"Blocks","Bidupur","Bidupur","Bihar","Vaishali",""
"Blocks","Lalganj","Lalganj","Bihar","Vaishali",""
"Blocks","Vaishali","Vaishali","Bihar","Vaishali",""
"Blocks","Bhagwanpur","Bhagwanpur","Bihar","Vaishali",""
"Blocks","PatedhiBelsar","Patedhi Belsar","Bihar","Vaishali",""
"Blocks","Mahnar","Mahnar","Bihar","Vaishali",""
"Blocks","Sahdei","Sahdei","Bihar","Vaishali",""
"Blocks","Mahua","Mahua","Bihar","Vaishali",""
"Blocks","Chehrakala","Chehrakala","Bihar","Vaishali",""
"Blocks","Jandaha","Jandaha","Bihar","Vaishali",""
"Blocks","Garaul","Garaul","Bihar","Vaishali",""
"Blocks","Patepur","Patepur","Bihar","Vaishali",""
"Blocks","Rajapakar","Rajapakar","Bihar","Vaishali",""
"Blocks","Desri","Desri","Bihar","Vaishali",""
"Blocks","Madhuban","Madhuban","Bihar","WestChamparan",""
"Blocks","Thakaraha","Thakaraha","Bihar","WestChamparan",""
"Blocks","Bagaha1","Bagaha 1","Bihar","WestChamparan",""
"Blocks","Bagaha2","Bagaha 2","Bihar","WestChamparan",""
"Blocks","Ramnagar","Ramnagar","Bihar","WestChamparan",""
"Blocks","Gaunaha","Gaunaha","Bihar","WestChamparan",""
"Blocks","Narkatiaganj","Narkatiaganj","Bihar","WestChamparan",""
"Blocks","Jogapatti","Jogapatti","Bihar","WestChamparan",""
"Blocks","Sikta","Sikta","Bihar","WestChamparan",""
"Blocks","Lauriya","Lauriya","Bihar","WestChamparan",""
"Blocks","Mainatand","Mainatand","Bihar","WestChamparan",""
"Blocks","Chanpatia","Chanpatia","Bihar","WestChamparan",""
"Blocks","Bettiah","Bettiah","Bihar","WestChamparan",""
"Blocks","Majhaulia","Majhaulia","Bihar","WestChamparan",""
"Blocks","Bairiya","Bairiya","Bihar","WestChamparan",""
"Blocks","Nautan","Nautan","Bihar","WestChamparan",""
"Blocks","Piprasi","Piprasi","Bihar","WestChamparan",""
"Blocks","Bhitha","Bhitha","Bihar","WestChamparan",""
"Blocks","Bahadurpur","Bahadurpur","EasternUP","Basti",""
"Blocks","Bankati","Bankati","EasternUP","Basti",""
"Blocks","Basti","Basti","EasternUP","Basti",""
"Blocks","Gaur","Gaur","EasternUP","Basti",""
"Blocks","Harraiya","Harraiya","EasternUP","Basti",""
"Blocks","Kaptanganj","Kaptanganj","EasternUP","Basti",""
"Blocks","Kudaraha","Kudaraha","EasternUP","Basti",""
"Blocks","Parasrampur","Parasrampur","EasternUP","Basti",""
"Blocks","Ramnagar","Ramnagar","EasternUP","Basti",""
"Blocks","Rudhauli","Rudhauli","EasternUP","Basti",""
"Blocks","SaltuaGoplapur","Saltua Goplapur","EasternUP","Basti",""
"Blocks","Saughat","Sau ghat","EasternUP","Basti",""
"Blocks","Vikramjot","Vikramjot","EasternUP","Basti",""
"Blocks","Baitalpur","Baitalpur","EasternUP","Deoria",""
"Blocks","Bankata","Bankata","EasternUP","Deoria",""
"Blocks","Barhaj","Barhaj","EasternUP","Deoria",""
"Blocks","Bhagalpur","Bhagalpur","EasternUP","Deoria",""
"Blocks","Bhaluani","Bhaluani","EasternUP","Deoria",""
"Blocks","Bhatani","Bhatani","EasternUP","Deoria",""
"Blocks","Bhatparani","Bhatparani","EasternUP","Deoria",""
"Blocks","Deoria","Deoria","EasternUP","Deoria",""
"Blocks","Desaideoria","Desai deoria","EasternUP","Deoria",""
"Blocks","GauriBazar","Gauri Bazar","EasternUP","Deoria",""
"Blocks","Lar","Lar","EasternUP","Deoria",""
"Blocks","Pathardeva","Pathardeva","EasternUP","Deoria",""
"Blocks","RampurKarkhana","Rampur Karkhana","EasternUP","Deoria",""
"Blocks","Rudrapur","Rudrapur","EasternUP","Deoria",""
"Blocks","Salempur","Salempur","EasternUP","Deoria",""
"Blocks","Tarkulwa","Tarkulwa","EasternUP","Deoria",""
"Blocks","Bansgaon","Bansgaon","EasternUP","Gorakhpur",""
"Blocks","Barhalganj","Barhalganj","EasternUP","Gorakhpur",""
"Blocks","Belghat","Belghat","EasternUP","Gorakhpur",""
"Blocks","Bhathat","Bhathat","EasternUP","Gorakhpur",""
"Blocks","Brahmpur","Brahmpur","EasternUP","Gorakhpur",""
"Blocks","CampiereGanj","Campiere Ganj","EasternUP","Gorakhpur",""
"Blocks","Chargawan","Chargawan","EasternUP","Gorakhpur",""
"Blocks","Gagha","Gagha","EasternUP","Gorakhpur",""
"Blocks","Gola","Gola","EasternUP","Gorakhpur",""
"Blocks","Jangalkudia","Jangal kudia","EasternUP","Gorakhpur",""
"Blocks","Kaurairam","Kaurairam","EasternUP","Gorakhpur",""
"Blocks","Khajani","Khajani","EasternUP","Gorakhpur",""
"Blocks","Khorabar","Khorabar","EasternUP","Gorakhpur",""
"Blocks","Pali","Pali","EasternUP","Gorakhpur",""
"Blocks","Pipraich","Pipraich","EasternUP","Gorakhpur",""
"Blocks","Piprauli","Piprauli","EasternUP","Gorakhpur",""
"Blocks","Sahjanwa","Sahjanwa","EasternUP","Gorakhpur",""
"Blocks","Sardarnagar","Sardarnagar","EasternUP","Gorakhpur",""
