list_name,name,label,q101_country,q102_state,q103_district
subDistrict,Kadiri,Kadiri,India,AndhraPradesh,Anantapur
subDistrict,Kalyandurg,Kalyandurg,India,AndhraPradesh,Anantapur
subDistrict,Kambadur,Kambadur,India,AndhraPradesh,Anantapur
subDistrict,Kanaganapalle,Kanaganapalle,India,AndhraPradesh,Anantapur
subDistrict,Kanekal,Kanekal,India,AndhraPradesh,Anantapur
subDistrict,Kothacheruvu,Kothacheruvu,India,AndhraPradesh,Anantapur
subDistrict,Kudair,Kudair,India,AndhraPradesh,Anantapur
subDistrict,Kundurpi,Kundurpi,India,AndhraPradesh,Anantapur
subDistrict,Lepakshi,Lepakshi,India,AndhraPradesh,Anantapur
subDistrict,Madakasira,Madakasira,India,AndhraPradesh,Anantapur
subDistrict,Mudigubba,Mudigubba,India,AndhraPradesh,Anantapur
subDistrict,Nallacheruvu,Nallacheruvu,India,AndhraPradesh,Anantapur
subDistrict,Nallamada,Nallamada,India,AndhraPradesh,Anantapur
subDistrict,Nambulipulikunta,Nambulipulikunta,India,AndhraPradesh,Anantapur
subDistrict,Narpala,Narpala,India,AndhraPradesh,Anantapur
subDistrict,Obuladevaracheruvu,Obuladevaracheruvu,India,AndhraPradesh,Anantapur
subDistrict,Pamidi,Pamidi,India,AndhraPradesh,Anantapur
subDistrict,Parigi,Parigi,India,AndhraPradesh,Anantapur
subDistrict,Peddapappur,Peddapappur,India,AndhraPradesh,Anantapur
subDistrict,Peddavadugur,Peddavadugur,India,AndhraPradesh,Anantapur
subDistrict,Penukonda,Penukonda,India,AndhraPradesh,Anantapur
subDistrict,Putlur,Putlur,India,AndhraPradesh,Anantapur
subDistrict,Puttaparthi,Puttaparthi,India,AndhraPradesh,Anantapur
subDistrict,Ramagiri,Ramagiri,India,AndhraPradesh,Anantapur
subDistrict,Raptadu,Raptadu,India,AndhraPradesh,Anantapur
subDistrict,Rayadurg,Rayadurg,India,AndhraPradesh,Anantapur
subDistrict,Roddam,Roddam,India,AndhraPradesh,Anantapur
subDistrict,Rolla,Rolla,India,AndhraPradesh,Anantapur
subDistrict,Settur,Settur,India,AndhraPradesh,Anantapur
subDistrict,Singanamala,Singanamala,India,AndhraPradesh,Anantapur
subDistrict,Somandepalle,Somandepalle,India,AndhraPradesh,Anantapur
subDistrict,Tadimarri,Tadimarri,India,AndhraPradesh,Anantapur
subDistrict,Tadpatri,Tadpatri,India,AndhraPradesh,Anantapur
subDistrict,Talupula,Talupula,India,AndhraPradesh,Anantapur
subDistrict,Tanakal,Tanakal,India,AndhraPradesh,Anantapur
subDistrict,Uravakonda,Uravakonda,India,AndhraPradesh,Anantapur
subDistrict,Vajrakarur,Vajrakarur,India,AndhraPradesh,Anantapur
subDistrict,Vidapanakal,Vidapanakal,India,AndhraPradesh,Anantapur
subDistrict,Yadiki,Yadiki,India,AndhraPradesh,Anantapur
subDistrict,Yellanur,Yellanur,India,AndhraPradesh,Anantapur
subDistrict,BKothakota,B.Kothakota,India,AndhraPradesh,Chittoor
subDistrict,Baireddipalle,Baireddipalle,India,AndhraPradesh,Chittoor
subDistrict,Bangarupalem,Bangarupalem,India,AndhraPradesh,Chittoor
subDistrict,BuchinaiduKandriga,Buchinaidu  Kandriga,India,AndhraPradesh,Chittoor
subDistrict,Chandragiri,Chandragiri,India,AndhraPradesh,Chittoor
subDistrict,Chinnagottigallu,Chinnagottigallu,India,AndhraPradesh,Chittoor
subDistrict,Chittoor,Chittoor,India,AndhraPradesh,Chittoor
subDistrict,Chowdepalle,Chowdepalle,India,AndhraPradesh,Chittoor
subDistrict,Gangadharanellore,Gangadharanellore,India,AndhraPradesh,Chittoor
subDistrict,Gangavaram1,Gangavaram1,India,AndhraPradesh,Chittoor
subDistrict,Gudipala,Gudipala,India,AndhraPradesh,Chittoor
subDistrict,Gudupalle,Gudupalle,India,AndhraPradesh,Chittoor
